Richard Courant,William Feller
Richard Courant,Leifur Ásgeirsson
Richard Courant,Herbert Busemann
Richard Courant,Kurt Friedrichs
Richard Courant,Harold Grad
Richard Courant,Fritz John
Richard Courant,Joseph Keller
Richard Courant,Edgar Krahn
Richard Courant,Martin Kruskal
Richard Courant,Anneli Lax
Richard Courant,Hans Lewy
Richard Courant,Otto Neugebauer
Richard Courant,Franz Rellich
Richard Courant,Kurt Otto Friedrichs
Richard Courant,Joseph B. Keller
William Feller,Patrick Billingsley
William Feller,George Forsythe
William Feller,Henry McKean
William Feller,Lawrence Shepp
William Feller,Hale Trotter
William Feller,Benjamin Weiss
William Feller,David A. Freedman
George Forsythe,Richard Brent
George Forsythe,J. Alan George
George Forsythe,Cleve Moler
George Forsythe,Beresford Parlett
George Forsythe,Richard P. Brent
George Forsythe,Beresford N. Parlett
George Forsythe,Beresford Neill Parlett
Henry McKean,Michael Arbib
Henry McKean,Luigi Chierchia
Henry McKean,Adrian Constantin
Henry McKean,Harry Dym
Henry McKean,Richard S. Ellis
Henry McKean,Daniel Stroock
Henry McKean,Eugene Trubowitz
Henry McKean,Pierre van Moerbeke
Benjamin Weiss,Itai Benjamini
Benjamin Weiss,Elon Lindenstrauss
David Hilbert,Richard Courant
David Hilbert,Wilhelm Ackermann
David Hilbert,Heinrich Behmann
David Hilbert,Felix Bernstein
David Hilbert,Otto Blumenthal
David Hilbert,Anne Bosworth
David Hilbert,Werner Boy
David Hilbert,Haskell Curry
David Hilbert,Max Dehn
David Hilbert,Rudolf Fueter
David Hilbert,Paul Funk
David Hilbert,Kurt Grelling
David Hilbert,Alfréd Haar
David Hilbert,Erich Hecke
David Hilbert,Earle Hedrick
David Hilbert,Ernst Hellinger
David Hilbert,Wallie Hurwitz
David Hilbert,Margarete Kahn
David Hilbert,Oliver Kellogg
David Hilbert,Hellmuth Kneser
David Hilbert,Robert König
David Hilbert,Emanuel Lasker
David Hilbert,Klara Löbenstein
David Hilbert,Charles Max Mason
David Hilbert,Erhard Schmidt
David Hilbert,Kurt Schütte
David Hilbert,Andreas Speiser
David Hilbert,Hugo Steinhaus
David Hilbert,Gabriel Sudan
David Hilbert,Teiji Takagi
David Hilbert,Hermann Weyl
David Hilbert,Ernst Zermelo
David Hilbert,Edward Kasner
David Hilbert,Sergei Bernstein
Kurt Friedrichs,Eugene Isaacson
Kurt Friedrichs,Peter Lax
Kurt Friedrichs,Cathleen Synge Morawetz
Kurt Friedrichs,Leonard Sarason
Kurt Friedrichs,Wolfgang R. Wasow
Kurt Friedrichs,Chia-Kun Chu
Kurt Friedrichs,Peter D. Lax
Kurt Friedrichs,Peter David Lax
Fritz John,Clifford Gardner
Fritz John,Sergiu Klainerman
Joseph Keller,Herbert Bishop Keller
Joseph Keller,George C. Papanicolaou
Joseph Keller,L. Mahadevan
Martin Kruskal,Robert Sinclair MacKay
Martin Kruskal,Steven Orszag
Martin Kruskal,Nalini Joshi
Anneli Lax,Elena Marchisotto
Hans Lewy,David Kinderlehrer
Franz Rellich,Jürgen Moser
Jacob Tamarkin,George Forsythe
Jacob Tamarkin,Dorothy Bernstein
Jacob Tamarkin,Nelson Dunford
Jacob Tamarkin,Margaret Gurney
Jacob Tamarkin,Derrick Lehmer
Jacob Tamarkin,Rose Sedgewick
Cleve Moler,Jack Dongarra
Cleve Moler,Charles F. Van Loan
Beresford Parlett,Inderjit Dhillon
Beresford Parlett,Anne Greenbaum
Ferdinand von Lindemann,David Hilbert
Ferdinand von Lindemann,Emil Hilb
Ferdinand von Lindemann,Martin Kutta
Ferdinand von Lindemann,Alfred Loewy
Ferdinand von Lindemann,Hermann Minkowski
Ferdinand von Lindemann,Oskar Perron
Ferdinand von Lindemann,Arthur Rosenthal
Ferdinand von Lindemann,Arnold Sommerfeld
Otto Blumenthal,Karl Gehlen
Max Dehn,Ott-Heinrich Keller
Max Dehn,Wilhelm Magnus
Max Dehn,Ruth Moufang
Rudolf Fueter,Max Gut
Rudolf Fueter,Verena Haefeli-Huber
Rudolf Fueter,Alexander Weinstein
Rudolf Fueter,Walter Nef
Alfréd Haar,Béla Szőkefalvi-Nagy
Erich Hecke,Kurt Reidemeister
Erich Hecke,Heinrich Behnke
Erich Hecke,Hans Petersson
Wallie Hurwitz,Robert Horton Cameron
Wallie Hurwitz,Florence Marie Mears
Oliver Kellogg,Arthur Herbert Copeland
Hellmuth Kneser,Reinhold Baer
Hellmuth Kneser,Wolfgang Walter
Erhard Schmidt,Salomon Bochner
Erhard Schmidt,Alfred Brauer
Erhard Schmidt,Richard Brauer
Erhard Schmidt,Lothar Collatz
Erhard Schmidt,Alexander Dinghas
Erhard Schmidt,Michael Golomb
Erhard Schmidt,Guido Hoheisel
Erhard Schmidt,Eberhard Hopf
Erhard Schmidt,Heinz Hopf
Erhard Schmidt,Martin Kneser
Erhard Schmidt,Wilhelm Specht
Erhard Schmidt,Richard Dagobert Brauer
Andreas Speiser,Johann Jakob Burckhardt
Andreas Speiser,Verena Haefeli-Huber
Hugo Steinhaus,Stefan Banach
Hugo Steinhaus,Z. W. (Bill) Birnbaum
Hugo Steinhaus,Mark Kac
Hugo Steinhaus,Władysław Orlicz
Hugo Steinhaus,Aleksander Rajchman
Hugo Steinhaus,Juliusz Schauder
Hugo Steinhaus,Stanisław Trybula
Teiji Takagi,Shokichi Iyanaga
Teiji Takagi,Sigekatu Kuroda
Teiji Takagi,Tadasi Nakayama
Teiji Takagi,Kenjiro Shoda
Hermann Weyl,Alexander Weinstein
Hermann Weyl,Alfred Aeppli
Hermann Weyl,Fritz Gassmann
Hermann Weyl,Saunders Mac Lane
Ernst Zermelo,Stefan Straszewicz
Peter Lax,Steve Alpern
Peter Lax,Gregory Beylkin
Peter Lax,Alexandre Chorin
Peter Lax,Charles Epstein
Peter Lax,Michael Ghil
Peter Lax,Ami Harten
Peter Lax,James (Mac) Hyman
Peter Lax,George Logemann
Peter Lax,Jeffrey Rauch
Peter Lax,Burton Wendroff
Peter Lax,James Sethian
Wolfgang R. Wasow,Gilbert Stengle
Sergiu Klainerman,Gustavo Ponce
L. Mahadevan,Adam Cohen
L. Mahadevan,Orit Peleg
Andrei Markov,Jacob Tamarkin
Andrei Markov,Abram Besicovitch
Andrei Markov,Nikolai Günther
Andrei Markov,Veniamin Kagan
Andrei Markov,V. I. Romanovsky
Andrei Markov,J. V. Uspensky
Andrei Markov,Georgy Voronoy
Andrei Markov,Jacob David Tamarkin
Andrei Markov,Abram Samoilovitch Besicovitch
Nelson Dunford,Shaul Foguel
Nelson Dunford,Jacob T. Schwartz
Nelson Dunford,Jacob Schwartz
Derrick Lehmer,Tom Apostol
Derrick Lehmer,Ronald Graham
Derrick Lehmer,Harold Stark
Derrick Lehmer,Peter J. Weinberger
Derrick Lehmer,Tom M. Apostol
Gene H. Golub,Richard Brent
Gene H. Golub,Richard P. Brent
Gene H. Golub,Michael Heath
Gene H. Golub,Dianne O'Leary
Gene H. Golub,Michael Overton
Gene H. Golub,Michael Saunders
Gene H. Golub,Margaret H. Wright
Gene H. Golub,Dianne P. O'Leary
Inderjit Dhillon,Joel Tropp
Mark Kac,Daniel Stroock
Mark Kac,Harry Kesten
Mark Kac,William LeVeque
Mark Kac,William Newcomb
Mark Kac,Lonnie Cross
Mark Kac,Daniel B. Ray
Mark Kac,Murray Rosenblatt
Mark Kac,William J. LeVeque
C. Felix Klein,Ferdinand von Lindemann
C. Felix Klein,Ludwig Bieberbach
C. Felix Klein,Maxime Bôcher
C. Felix Klein,Oskar Bolza
C. Felix Klein,Max Brückner
C. Felix Klein,Frank Nelson Cole
C. Felix Klein,Friedrich Dingeldey
C. Felix Klein,Henry B. Fine
C. Felix Klein,Erwin Freundlich
C. Felix Klein,Robert Fricke
C. Felix Klein,Philipp Furtwängler
C. Felix Klein,Axel Harnack
C. Felix Klein,Mellen Haskell
C. Felix Klein,Adolf Hurwitz
C. Felix Klein,Edward Kasner
C. Felix Klein,Alexander Ostrowski
C. Felix Klein,Julio Rey Pastor
C. Felix Klein,Hermann Rothe
C. Felix Klein,Friedrich Schilling
C. Felix Klein,Virgil Snyder
C. Felix Klein,Edward Van Vleck
C. Felix Klein,Walther von Dyck
C. Felix Klein,Adolf Weiler
C. Felix Klein,Henry Seely White
C. Felix Klein,Alexander Witting
C. Felix Klein,Grace Chisholm Young
Hermann Minkowski,Constantin Carathéodory
Hermann Minkowski,Louis Kollros
Hermann Minkowski,Dénes Kőnig
Oskar Perron,Helmut Röhrl
Oskar Perron,Georgi Bradistilov
Arnold Sommerfeld,Werner Heisenberg
Arnold Sommerfeld,Wolfgang Pauli
Arnold Sommerfeld,Peter Debye
Arnold Sommerfeld,Paul Sophus Epstein
Arnold Sommerfeld,Hans Bethe
Arnold Sommerfeld,Ernst Guillemin
Arnold Sommerfeld,Karl Bechert
Arnold Sommerfeld,Paul Peter Ewald
Arnold Sommerfeld,Herbert Fröhlich
Arnold Sommerfeld,Erwin Fues
Arnold Sommerfeld,Karl Herzfeld
Arnold Sommerfeld,Helmut Hönl
Arnold Sommerfeld,Ludwig Hopf
